name,gender
vaishanvi,f
gulfsa,f
hari,m
mantu,m
monika,f
ajit,m
jang,m
sukar,m
kishan,m
divya,f
tannu,f
mansoor,m
anshu,f
bharat,m
anil,m
noor,m
prithvi,m
arvind,m
rita,f
tara,m
rashi,f
amit,m
ghanshyam,m
himanshi,f
sushma,f
minakshi,f
harish,m
soni,f
ram,m
razni,f
sushila,f
javid,m
umashankar,m
chandan,m
dharm,m
surender,m
arshad,m
krishen,m
vidya,f
mahender,m
alka,f
nirmala,f
deepali,f
vipasha,f
anju,f
narender,m
sita,f
sunder,m
bhawana,f
rajeev,m
gaurav,m
mamta,f
twinkal,f
deepa,m
parsi,f
chandani,f
amarjeet,m
payal,f
sunita,f
klu,f
neelam,f
zarina,f
kajal,f
makrud,m
phulkana,f
priya,f
suman,f
kanwar,m
sandeep,m
kanchan,f
krishan,m
rabita,f
meenakshi,f
rosan,f
himanshu,m
sarita,f
chottu,m
abhay,m
ramkaran,m
pallavi,f
megha,f
sandhya,f
tanmay,m
vishal,m
guddi,f
urmila,f
shama,f
rizwan,m
kirti,f
aarti,f
deepak,m
mandeep,m
maya,f
malti,f
sabrajeet,m
resham,f
radha,f
sapna,f
nadir,m
sheela,f
hemlata,f
arjoo,m
chandra,f
rajbir,m
shweta,f
gauri,f
pal,m
netram,m
nagma,f
abishak,m
javed,m
seweta,f
dinesh,m
chanderkala,f
shashi,f
sakir,m
karim,m
chom,m
bandu,m
birjesh,m
manish,m
laxmi,f
neeraj,m
ramkishan,m
ravi,m
raja,m
lalita,f
shyam,m
saurabh,m
rahul,m
mohit,m
amar,m
maisan,m
aakanksha,f
rihal,m
chahat,f
harkesh,m
ruksar,f
pooja,f
aakash,m
kanta,f
saranthem,f
badrudeen,m
vijay,m
manoj,m
najubai,m
daniel,m
sangeeta,m
bechan,m
mubashir,m
chander,m
poonam,f
vikas,m
ganpatram,m
parem,m
pyare,m
pramod,m
nitin,m
isha,f
neha,f
sanjay,m
manjula,f
jaioni,f
hakam,m
amina,f
sobi,m
jyoti,f
umesh,m
toni,m
anshu,m
parwati,f
manisha,f
reena,f
bobby,m
manjinder,f
kapil,m
kasturi,f
ramchander,m
asma,f
roshan,m
dharmender,m
dhiraj,m
seema,f
yashpal,m
raju,m
vipul,m
mohan,m
ashwani,m
sarjeet,m
naresh,m
nahid,f
reeta,f
nasiar,m
anubhav,m
jaitun,f
kavita,f
kamlesh,f
nishu,f
rinkoo,m
shankar,m
sabra,f
bharti,f
pankaj,m
naseeba,f
subhakar,m
ajay,m
sakshi,f
narendra,m
rajesh,m
mithlesh,m
abhinav,m
jawahar,m
chandini,f
rekhai,m
rani,f
shakir,m
marsi,f
devyani,f
bhupendra,m
gandharv,m
seeta,f
rubeena,f
arti,f
sachin,m
savita,f
priti,f
bhadur,m
lal,m
anjana,f
renu,f
pholwati,f
sonu,m
kuldeep,m
pooja,m
karmveer,m
sukhveer,m
karshma,f
anash,m
bablu,m
shkundla,f
ramji,m
sorabh,m
preeti,f
mahadevi,f
manpreet,f
vicky,m
kamal,m
rekha,f
gourav,m
narayan,m
sonia,f
suraj,m
kanta,m
rukhsar,f
jalil,m
shalini,f
aoosaf,m
pardeep,m
sagar,m
rinju,f
rajina,f
khushbu,f
gajana,f
shkur,m
arsi,f
saroj,f
kranti,f
kumari,f
pappu,m
hetal,f
mukesh,m
sipra,f
bhimsen,m
sabeena,f
subhash,m
yogesh,m
naim,m
boby,m
netra,m
sashi,f
beauty,f
archana,f
anuj,m
homa,m
dulichand,m
aslam,m
priyanka,f
saraswati,f
ankit,m
vikram,m
sawtri,f
somnath,m
jagdish,m
pushpa,f
abhishek,m
aaftaab,m
reshma,f
ganga,m
monu,m
gawali,m
ashish,m
inderjit,f
rajni,f
amarapal,m
ratna,f
begam,f
rajani,f
nar,m
nand,m
rajindre,f
kamlesh,m
nazima,f
rinki,f
sobha,f
meena,f
roshni,f
gorav,m
sujata,f
akash,m
sanni,m
sana,f
praveen,m
muskan,f
shashai,m
madhu,f
chand,m
firoj,m
komal,m
ruksana,f
puja,f
asif,m
danveer,m
aayush,m
mast,m
rakesh,m
ruby,f
avnish,m
praveen,f
firoz,m
vivekanand,m
pushkar,m
babu,m
ramlal,m
shivam,m
nisha,f
sitara,f
rachana,f
anita,f
vaseem,m
rishiraj,m
kiran,f
toquir,m
satish,m
ravina,f
bhanwar,m
ritesh,m
subodh,m
sarvesh,m
bhima,m
jeeshan,m
diti,f
raj,m
komal,f
raeeyan,m
nelam,f
shivani,f
santosh,m
sangita,f
sona,f
aditi,m
vi,m
sonam,f
nirmla,f
sunaina,f
deepa,f
amritpal,m
tanveer,m
durga,f
nitu,f
bhuri,f
leelawati,f
rohitash,m
bindu,f
teena,f
amarjit,f
ankur,m
kailash,m
nitesh,m
geeta,f
nirmal,f
puran,m
bada,m
jahani,f
abhishik,m
joyti,f
sudha,f
avinash,m
karan,m
aman,m
